Rating,Review Title
9,My Antidote to Marvel and Co.
10,It's 4am
9,It's exactly the opposite of your usual superhero show!
10,Unexpected
10,Definitly one of the best series this year
10,"Just... Wow. Dark, funny and gripping."
10,About time
10,Awesome!
10,Excellent!!
5,This show fell off really hard
9,A superior 'Superhero' series
9,Super hero reality check in affect
9,Big things for Homelander
10,Check it out. You will be surprised.
10,A Super Series
10,Ba-na-na-na-na-na-na-na-nannas!
8,Fairly unique
6,"Season 1 and 2 are fire, 3 is okay, 4 is total TRASH"
4,"Season 1 was great fun, season 4 has lost its mojo"
10,Top 2 Best of 2019
8,Highly original and entertaining though S4 is disappointing
10,Best of 2019
9,What a treat!
10,Karl Urban made this a 10
8,"Started Out Great, Slowly Disintegrating Each Season"
10,I can't stand comicbooks/superheroes...
10,Anti-superheroes becoming our saviours
6,S1-3 are great. 4 is a disgrace.
10,Stop all other crapy super hero TV series and put all the money to this
10,"Mindblowing, laugh a minute experience"
9,Amazon finally did it!
10,So great!
10,Amazing
10,Thumbs up! 👍
9,Big f-you to Disney superheroes
9,Yeah More Like This Please
7,WT...happened with season 4?
4,R.I.P. The Boys...
N/A,Am I literally the only one that finds season 3 finale terrible
10,I Agree
9,Watchmen meets Breaking Bad
9,How I imagine Superheroes would really be!
10,Ome of the best shows EVER.
8,WOW....REALLY!
9,Great!
8,"Season 1 was great, not feeling season 2 yet."
6,Season 4 is a trainwreck
5,What happened to The Boys?
10,A show catered specifically for me :)
9,SEASON 3!
10,Great superhero show
10,After all we've all had enough of super-heros
2,Season 4??? what the hell happened!!!!!!
N/A,We waited two years for this?.
9,Everything that's wrong with today's society
9,When you don't feel like pining for the Superheroes
8,What happened to the fourth season?
9,UNIQUE STORYLINE
10,10 / 10 ... No Doubt...
10,"Awesome, unexpected and best new series of 2019!"
8,One of my favorite series of all time
6,From Amazing Superhero Drama to Political Soapbox
4,Dying an uglier death than characters on the show
9,Well executed
8,Decent
9,This is great!!
9,Diabolical!
10,"10 Stars, Is'nt Enough. Because, it's perfect."
9,Great Ending to Season 2
8,Watch Out for The Boys
6,Season 4 took a turn for the worse
2,The Boys: From Stellar Beginnings to a Disheartening Decline
10,Bloody brilliant
10,Wonderful Take on the Genre!!
8,One of the weirdest and most fun shows ever up until S4!
10,What really would happen if normal human beings had powers.
10,The best superhro show in a long time
9,Absolute Banger of a show
10,Perfect
7,Quite funny but also very bizarre
10,Antony Star deserves an Oscar
9,If Superheroes Are Real
9,Super entertaining
9,Reality of superheroes
8,I'm All In
8,I do a few days from now until September. If you read this review after witnessing the second season
10,This is something
5,Declined after Season 2
9,Karl Urban is awesome!
10,I'm sure this show will be remembered as one of the best of the decade
9,A more real world super hero movie
8,Really awesome
8,Brilliantly Depressing
9,Definitely enjoyed
8,A new take on heroes
9,A must watch
9,Kinda like The Incredibles...but for a mature audience
9,A pleasant surprise
9,Superhero TV Drama!
9,"""You're like the Rain Man of people over."" ""...Not a compliment"""
9,Almost Perfect Viewing
8,Solid 8 pushing in on a 9
9,Refreshing
7,Season 1 & 2 Amazing!
4,The decline of a masterpiece
9,Shocking becomes disgusting
9,"Fun, nice plot and characters"
9,Finally Superheroes are Interesting
9,The Boys
10,Seems prime are stepping up their game.
9,Sup'd up quality!
10,Fantasic!!
6,What happened to season 4 ?!?
9,"Super enjoyable, though quality drops in season four."
10,Superheroes done right
10,Unexpected
10,just AMAZING
10,Not for kids
8,"""See, people love that cozy feeling that Supes (superheroes) give them. Some golden c**t to swoop out of the sky and save the day so you don't got to do it yourself."""
8,This show is f##king great
10,Dark masterpiece
7,This show story seems to be stuck
9,More twists than supes o's at a Herogasm party.
9,Absolutely amazing show
8,Wild and brutal and good social criticism
9,A realy good surprize !
9,One of the best series of the year!
8,Wow
6,Started off good...
